City,Mode,MonthBeginning,DayType,RouteID,RouteName,AverageDailyRidership,Source
Philadelphia,Bus,2019-01-01,All,ALL,ALL,459160,APC
Philadelphia,CCT,2019-01-01,All,ALL,ALL,4294,Revenue
Philadelphia,Heavy Rail,2019-01-01,All,ALL,ALL,296709,Revenue
Philadelphia,Regional Rail,2019-01-01,All,ALL,ALL,122856,Revenue
Philadelphia,Trackless Trolley,2019-01-01,All,ALL,ALL,16853,APC
Philadelphia,Trolley,2019-01-01,All,ALL,ALL,82787,APC
Philadelphia,Bus,2019-02-01,All,ALL,ALL,464674,APC
Philadelphia,CCT,2019-02-01,All,ALL,ALL,4652,Revenue
Philadelphia,Heavy Rail,2019-02-01,All,ALL,ALL,315858,Revenue
Philadelphia,Regional Rail,2019-02-01,All,ALL,ALL,121161,Revenue
Philadelphia,Trackless Trolley,2019-02-01,All,ALL,ALL,16812,APC
Philadelphia,Trolley,2019-02-01,All,ALL,ALL,82787,APC
Philadelphia,Bus,2019-03-01,All,ALL,ALL,478487,APC
Philadelphia,CCT,2019-03-01,All,ALL,ALL,6027,Revenue
Philadelphia,Heavy Rail,2019-03-01,All,ALL,ALL,308777,Revenue
Philadelphia,Regional Rail,2019-03-01,All,ALL,ALL,118228,Revenue
Philadelphia,Trackless Trolley,2019-03-01,All,ALL,ALL,18813,APC
Philadelphia,Trolley,2019-03-01,All,ALL,ALL,82433,APC
Philadelphia,Bus,2019-04-01,All,ALL,ALL,473732,APC
Philadelphia,CCT,2019-04-01,All,ALL,ALL,4805,Revenue
Philadelphia,Heavy Rail,2019-04-01,All,ALL,ALL,305491,Revenue
Philadelphia,Regional Rail,2019-04-01,All,ALL,ALL,124045,Revenue
Philadelphia,Trackless Trolley,2019-04-01,All,ALL,ALL,18934,APC
Philadelphia,Trolley,2019-04-01,All,ALL,ALL,84864,APC
Philadelphia,Bus,2019-05-01,All,ALL,ALL,480074,APC
Philadelphia,CCT,2019-05-01,All,ALL,ALL,5655,Revenue
Philadelphia,Heavy Rail,2019-05-01,All,ALL,ALL,303776,Revenue
Philadelphia,Regional Rail,2019-05-01,All,ALL,ALL,119187,Revenue
Philadelphia,Trackless Trolley,2019-05-01,All,ALL,ALL,19452,APC
Philadelphia,Trolley,2019-05-01,All,ALL,ALL,83413,APC
Philadelphia,Bus,2019-06-01,All,ALL,ALL,396720,APC
Philadelphia,CCT,2019-06-01,All,ALL,ALL,4924,Revenue
Philadelphia,Heavy Rail,2019-06-01,All,ALL,ALL,273813,Revenue
Philadelphia,Regional Rail,2019-06-01,All,ALL,ALL,113745,Revenue
Philadelphia,Trackless Trolley,2019-06-01,All,ALL,ALL,15639,APC
Philadelphia,Trolley,2019-06-01,All,ALL,ALL,73295,APC
Philadelphia,Bus,2019-07-01,All,ALL,ALL,401911,APC
Philadelphia,CCT,2019-07-01,All,ALL,ALL,4314,Revenue
Philadelphia,Heavy Rail,2019-07-01,All,ALL,ALL,263492,Revenue
Philadelphia,Regional Rail,2019-07-01,All,ALL,ALL,115144,Revenue
Philadelphia,Trackless Trolley,2019-07-01,All,ALL,ALL,15597,APC
Philadelphia,Trolley,2019-07-01,All,ALL,ALL,71573,APC
Philadelphia,Bus,2019-08-01,All,ALL,ALL,406865,APC
Philadelphia,CCT,2019-08-01,All,ALL,ALL,5649,Revenue
Philadelphia,Heavy Rail,2019-08-01,All,ALL,ALL,268150,Revenue
Philadelphia,Regional Rail,2019-08-01,All,ALL,ALL,114436,Revenue
Philadelphia,Trackless Trolley,2019-08-01,All,ALL,ALL,15313,APC
Philadelphia,Trolley,2019-08-01,All,ALL,ALL,75874,APC
Philadelphia,Bus,2019-09-01,All,ALL,ALL,501557,APC
Philadelphia,CCT,2019-09-01,All,ALL,ALL,4933,Revenue
Philadelphia,Heavy Rail,2019-09-01,All,ALL,ALL,321907,Revenue
Philadelphia,Regional Rail,2019-09-01,All,ALL,ALL,138481,Revenue
Philadelphia,Trackless Trolley,2019-09-01,All,ALL,ALL,19348,APC
Philadelphia,Trolley,2019-09-01,All,ALL,ALL,80939,APC
Philadelphia,Bus,2019-10-01,All,ALL,ALL,502857,APC
Philadelphia,CCT,2019-10-01,All,ALL,ALL,4687,Revenue
Philadelphia,Heavy Rail,2019-10-01,All,ALL,ALL,326562,Revenue
Philadelphia,Regional Rail,2019-10-01,All,ALL,ALL,133614,Revenue
Philadelphia,Trackless Trolley,2019-10-01,All,ALL,ALL,19793,APC
Philadelphia,Trolley,2019-10-01,All,ALL,ALL,80063,APC
Philadelphia,Bus,2019-11-01,All,ALL,ALL,490316,APC
Philadelphia,CCT,2019-11-01,All,ALL,ALL,6145,Revenue
Philadelphia,Heavy Rail,2019-11-01,All,ALL,ALL,322462,Revenue
Philadelphia,Regional Rail,2019-11-01,All,ALL,ALL,130761,Revenue
Philadelphia,Trackless Trolley,2019-11-01,All,ALL,ALL,18880,APC
Philadelphia,Trolley,2019-11-01,All,ALL,ALL,80113,APC
Philadelphia,Bus,2019-12-01,All,ALL,ALL,437027,APC
Philadelphia,CCT,2019-12-01,All,ALL,ALL,4595,Revenue
Philadelphia,Heavy Rail,2019-12-01,All,ALL,ALL,312677,Revenue
Philadelphia,Regional Rail,2019-12-01,All,ALL,ALL,128363,Revenue
Philadelphia,Trackless Trolley,2019-12-01,All,ALL,ALL,17282,APC
Philadelphia,Trolley,2019-12-01,All,ALL,ALL,78034,APC
Philadelphia,Bus,2020-01-01,All,ALL,ALL,493261,APC
Philadelphia,CCT,2020-01-01,All,ALL,ALL,4414,Revenue
Philadelphia,Heavy Rail,2020-01-01,All,ALL,ALL,311442,Revenue
Philadelphia,Regional Rail,2020-01-01,All,ALL,ALL,129953,Revenue
Philadelphia,Trackless Trolley,2020-01-01,All,ALL,ALL,18741,APC
Philadelphia,Trolley,2020-01-01,All,ALL,ALL,79713,APC
Philadelphia,Bus,2020-02-01,All,ALL,ALL,503967,APC
Philadelphia,CCT,2020-02-01,All,ALL,ALL,5075,Revenue
Philadelphia,Heavy Rail,2020-02-01,All,ALL,ALL,309414,Revenue
Philadelphia,Regional Rail,2020-02-01,All,ALL,ALL,125397,Revenue
Philadelphia,Trackless Trolley,2020-02-01,All,ALL,ALL,18226,APC
Philadelphia,Trolley,2020-02-01,All,ALL,ALL,82076,APC
Philadelphia,Bus,2020-03-01,All,ALL,ALL,414021,APC
Philadelphia,CCT,2020-03-01,All,ALL,ALL,3885,Revenue
Philadelphia,Heavy Rail,2020-03-01,All,ALL,ALL,191819,Revenue
Philadelphia,Regional Rail,2020-03-01,All,ALL,ALL,60912,Revenue
Philadelphia,Trackless Trolley,2020-03-01,All,ALL,ALL,14497,APC
Philadelphia,Trolley,2020-03-01,All,ALL,ALL,58641,APC
Philadelphia,Bus,2020-04-01,All,ALL,ALL,141411,APC
Philadelphia,CCT,2020-04-01,All,ALL,ALL,694,Revenue
Philadelphia,Heavy Rail,2020-04-01,All,ALL,ALL,44353,Revenue
Philadelphia,Regional Rail,2020-04-01,All,ALL,ALL,5168,Revenue
Philadelphia,Trackless Trolley,2020-04-01,All,ALL,ALL,4888,APC
Philadelphia,Trolley,2020-04-01,All,ALL,ALL,14870,APC
Philadelphia,Bus,2020-05-01,All,ALL,ALL,165838,APC
Philadelphia,CCT,2020-05-01,All,ALL,ALL,973,Revenue
Philadelphia,Heavy Rail,2020-05-01,All,ALL,ALL,52913,Revenue
Philadelphia,Regional Rail,2020-05-01,All,ALL,ALL,2016,Revenue
Philadelphia,Trackless Trolley,2020-05-01,All,ALL,ALL,6243,APC
Philadelphia,Trolley,2020-05-01,All,ALL,ALL,20611,APC
Philadelphia,Bus,2020-06-01,All,ALL,ALL,192334,APC
Philadelphia,CCT,2020-06-01,All,ALL,ALL,1056,Revenue
Philadelphia,Heavy Rail,2020-06-01,All,ALL,ALL,66216,Revenue
Philadelphia,Regional Rail,2020-06-01,All,ALL,ALL,8516,Revenue
Philadelphia,Trackless Trolley,2020-06-01,All,ALL,ALL,7677,APC
Philadelphia,Trolley,2020-06-01,All,ALL,ALL,27991,APC
Philadelphia,Bus,2020-07-01,All,ALL,ALL,203766,APC
Philadelphia,CCT,2020-07-01,All,ALL,ALL,1076,Revenue
Philadelphia,Heavy Rail,2020-07-01,All,ALL,ALL,86270,Revenue
Philadelphia,Regional Rail,2020-07-01,All,ALL,ALL,17381,Revenue
Philadelphia,Trackless Trolley,2020-07-01,All,ALL,ALL,7666,APC
Philadelphia,Trolley,2020-07-01,All,ALL,ALL,31135,APC
Philadelphia,Bus,2020-08-01,All,ALL,ALL,189252,Revenue_Estimate
Philadelphia,CCT,2020-08-01,All,ALL,ALL,1611,Revenue
Philadelphia,Heavy Rail,2020-08-01,All,ALL,ALL,87788,Revenue
Philadelphia,Regional Rail,2020-08-01,All,ALL,ALL,18288,Revenue
Philadelphia,Trackless Trolley,2020-08-01,All,ALL,ALL,7963,Revenue_Estimate
Philadelphia,Trolley,2020-08-01,All,ALL,ALL,26191,Revenue_Estimate
Philadelphia,Bus,2020-09-01,All,ALL,ALL,205693,Revenue_Estimate
Philadelphia,CCT,2020-09-01,All,ALL,ALL,1471,Revenue
Philadelphia,Heavy Rail,2020-09-01,All,ALL,ALL,96188,Revenue
Philadelphia,Regional Rail,2020-09-01,All,ALL,ALL,23479,Revenue
Philadelphia,Trackless Trolley,2020-09-01,All,ALL,ALL,7932,Revenue_Estimate
Philadelphia,Trolley,2020-09-01,All,ALL,ALL,23834,Revenue_Estimate
Philadelphia,Bus,2020-10-01,All,ALL,ALL,207445,Revenue_Estimate
Philadelphia,CCT,2020-10-01,All,ALL,ALL,1588,Revenue
Philadelphia,Heavy Rail,2020-10-01,All,ALL,ALL,97333,Revenue
Philadelphia,Regional Rail,2020-10-01,All,ALL,ALL,22844,Revenue
Philadelphia,Trackless Trolley,2020-10-01,All,ALL,ALL,8510,Revenue_Estimate
Philadelphia,Trolley,2020-10-01,All,ALL,ALL,23686,Revenue_Estimate
Philadelphia,Bus,2020-11-01,All,ALL,ALL,193063,Revenue_Estimate
Philadelphia,CCT,2020-11-01,All,ALL,ALL,2004,Revenue
Philadelphia,Heavy Rail,2020-11-01,All,ALL,ALL,88690,Revenue
Philadelphia,Regional Rail,2020-11-01,All,ALL,ALL,23836,Revenue
Philadelphia,Trackless Trolley,2020-11-01,All,ALL,ALL,7551,Revenue_Estimate
Philadelphia,Trolley,2020-11-01,All,ALL,ALL,22903,Revenue_Estimate
Philadelphia,Bus,2020-12-01,All,ALL,ALL,200729,Revenue_Estimate
Philadelphia,CCT,2020-12-01,All,ALL,ALL,1314,Revenue
Philadelphia,Heavy Rail,2020-12-01,All,ALL,ALL,92190,Revenue
Philadelphia,Regional Rail,2020-12-01,All,ALL,ALL,23381,Revenue
Philadelphia,Trackless Trolley,2020-12-01,All,ALL,ALL,7431,Revenue_Estimate
Philadelphia,Trolley,2020-12-01,All,ALL,ALL,24671,Revenue_Estimate
Philadelphia,Bus,2021-01-01,All,ALL,ALL,184766,APC
Philadelphia,CCT,2021-01-01,All,ALL,ALL,1381,Revenue
Philadelphia,Heavy Rail,2021-01-01,All,ALL,ALL,88543,Revenue
Philadelphia,Regional Rail,2021-01-01,All,ALL,ALL,24283,Revenue
Philadelphia,Trackless Trolley,2021-01-01,All,ALL,ALL,6573,Revenue_Estimate
Philadelphia,Trolley,2021-01-01,All,ALL,ALL,24608,Revenue_Estimate
Philadelphia,Bus,2021-02-01,All,ALL,ALL,184944,APC
Philadelphia,CCT,2021-02-01,All,ALL,ALL,1399,Revenue
Philadelphia,Heavy Rail,2021-02-01,All,ALL,ALL,84876,Revenue
Philadelphia,Regional Rail,2021-02-01,All,ALL,ALL,15466,Revenue
Philadelphia,Trackless Trolley,2021-02-01,All,ALL,ALL,5884,Revenue_Estimate
Philadelphia,Trolley,2021-02-01,All,ALL,ALL,24824,Revenue_Estimate
Philadelphia,Bus,2021-03-01,All,ALL,ALL,208266,APC
Philadelphia,CCT,2021-03-01,All,ALL,ALL,2082,Revenue
Philadelphia,Heavy Rail,2021-03-01,All,ALL,ALL,94351,Revenue
Philadelphia,Regional Rail,2021-03-01,All,ALL,ALL,21225,Revenue
Philadelphia,Trackless Trolley,2021-03-01,All,ALL,ALL,7336,Revenue_Estimate
Philadelphia,Trolley,2021-03-01,All,ALL,ALL,25485,Revenue_Estimate
Philadelphia,Bus,2021-04-01,All,ALL,ALL,209824,APC
Philadelphia,CCT,2021-04-01,All,ALL,ALL,1833,Revenue
Philadelphia,Heavy Rail,2021-04-01,All,ALL,ALL,104843,Revenue
Philadelphia,Regional Rail,2021-04-01,All,ALL,ALL,21312,Revenue
Philadelphia,Trackless Trolley,2021-04-01,All,ALL,ALL,8331,Revenue_Estimate
Philadelphia,Trolley,2021-04-01,All,ALL,ALL,27140,Revenue_Estimate
Philadelphia,Bus,2021-05-01,All,ALL,ALL,216243,APC
Philadelphia,CCT,2021-05-01,All,ALL,ALL,3158,Revenue
Philadelphia,Heavy Rail,2021-05-01,All,ALL,ALL,109747,Revenue
Philadelphia,Regional Rail,2021-05-01,All,ALL,ALL,25380,Revenue
Philadelphia,Trackless Trolley,2021-05-01,All,ALL,ALL,8752,Revenue_Estimate
Philadelphia,Trolley,2021-05-01,All,ALL,ALL,28242,Revenue_Estimate
Philadelphia,Bus,2021-06-01,All,ALL,ALL,222345,APC
Philadelphia,CCT,2021-06-01,All,ALL,ALL,1564,Revenue
Philadelphia,Heavy Rail,2021-06-01,All,ALL,ALL,112267,Revenue
Philadelphia,Regional Rail,2021-06-01,All,ALL,ALL,28832,Revenue
Philadelphia,Trackless Trolley,2021-06-01,All,ALL,ALL,8289,Revenue_Estimate
Philadelphia,Trolley,2021-06-01,All,ALL,ALL,30826,Revenue_Estimate
Philadelphia,Bus,2021-07-01,All,ALL,ALL,232352,APC
Philadelphia,CCT,2021-07-01,All,ALL,ALL,1736,Revenue
Philadelphia,Heavy Rail,2021-07-01,All,ALL,ALL,115614,Revenue
Philadelphia,Regional Rail,2021-07-01,All,ALL,ALL,32582,Revenue
Philadelphia,Trackless Trolley,2021-07-01,All,ALL,ALL,8578,Revenue_Estimate
Philadelphia,Trolley,2021-07-01,All,ALL,ALL,28434,Revenue_Estimate
Philadelphia,Bus,2021-08-01,All,ALL,ALL,238176,APC
Philadelphia,CCT,2021-08-01,All,ALL,ALL,2478,Revenue
Philadelphia,Heavy Rail,2021-08-01,All,ALL,ALL,115936,Revenue
Philadelphia,Regional Rail,2021-08-01,All,ALL,ALL,33513,Revenue
Philadelphia,Trackless Trolley,2021-08-01,All,ALL,ALL,8269,Revenue_Estimate
Philadelphia,Trolley,2021-08-01,All,ALL,ALL,30921,Revenue_Estimate
Philadelphia,Bus,2021-09-01,All,ALL,ALL,291653,APC
Philadelphia,CCT,2021-09-01,All,ALL,ALL,2144,Revenue
Philadelphia,Heavy Rail,2021-09-01,All,ALL,ALL,151160,Revenue
Philadelphia,Regional Rail,2021-09-01,All,ALL,ALL,42560,Revenue
Philadelphia,Trackless Trolley,2021-09-01,All,ALL,ALL,10835,Revenue_Estimate
Philadelphia,Trolley,2021-09-01,All,ALL,ALL,37844,Revenue_Estimate
Philadelphia,Bus,2021-10-01,All,ALL,ALL,302979,APC
Philadelphia,CCT,2021-10-01,All,ALL,ALL,2236,Revenue
Philadelphia,Heavy Rail,2021-10-01,All,ALL,ALL,157350,Revenue
Philadelphia,Regional Rail,2021-10-01,All,ALL,ALL,53831,Revenue
Philadelphia,Trackless Trolley,2021-10-01,All,ALL,ALL,11480,Revenue_Estimate
Philadelphia,Trolley,2021-10-01,All,ALL,ALL,37036,Revenue_Estimate
Philadelphia,Bus,2021-11-01,All,ALL,ALL,293035,APC
Philadelphia,CCT,2021-11-01,All,ALL,ALL,2380,Revenue
Philadelphia,Heavy Rail,2021-11-01,All,ALL,ALL,150727,Revenue
Philadelphia,Regional Rail,2021-11-01,All,ALL,ALL,52291,Revenue
Philadelphia,Trackless Trolley,2021-11-01,All,ALL,ALL,11139,Revenue_Estimate
Philadelphia,Trolley,2021-11-01,All,ALL,ALL,35881,Revenue_Estimate
Philadelphia,Bus,2021-12-01,All,ALL,ALL,272915,APC
Philadelphia,CCT,2021-12-01,All,ALL,ALL,2351,Revenue
Philadelphia,Heavy Rail,2021-12-01,All,ALL,ALL,142023,Revenue
Philadelphia,Regional Rail,2021-12-01,All,ALL,ALL,47061,Revenue
Philadelphia,Trackless Trolley,2021-12-01,All,ALL,ALL,9677,Revenue_Estimate
Philadelphia,Trolley,2021-12-01,All,ALL,ALL,34169,Revenue_Estimate
Philadelphia,Bus,2022-01-01,All,ALL,ALL,243951,APC
Philadelphia,CCT,2022-01-01,All,ALL,ALL,2019,Revenue
Philadelphia,Heavy Rail,2022-01-01,All,ALL,ALL,115382,Revenue
Philadelphia,Regional Rail,2022-01-01,All,ALL,ALL,32407,Revenue
Philadelphia,Trackless Trolley,2022-01-01,All,ALL,ALL,7753,Revenue_Estimate
Philadelphia,Trolley,2022-01-01,All,ALL,ALL,30631,Revenue_Estimate
Philadelphia,Bus,2022-02-01,All,ALL,ALL,292800,APC
Philadelphia,CCT,2022-02-01,All,ALL,ALL,2309,Revenue
Philadelphia,Heavy Rail,2022-02-01,All,ALL,ALL,142654,Revenue
Philadelphia,Regional Rail,2022-02-01,All,ALL,ALL,48846,Revenue
Philadelphia,Trackless Trolley,2022-02-01,All,ALL,ALL,9078,Revenue_Estimate
Philadelphia,Trolley,2022-02-01,All,ALL,ALL,40565,Revenue_Estimate
Philadelphia,Bus,2022-03-01,All,ALL,ALL,303607,APC
Philadelphia,CCT,2022-03-01,All,ALL,ALL,2564,Revenue
Philadelphia,Heavy Rail,2022-03-01,All,ALL,ALL,145909,Revenue
Philadelphia,Regional Rail,2022-03-01,All,ALL,ALL,54994,Revenue
Philadelphia,Trackless Trolley,2022-03-01,All,ALL,ALL,10722,Revenue_Estimate
Philadelphia,Trolley,2022-03-01,All,ALL,ALL,38122,Revenue_Estimate
Philadelphia,Bus,2022-04-01,All,ALL,ALL,297311,APC
Philadelphia,CCT,2022-04-01,All,ALL,ALL,2677,Revenue
Philadelphia,Heavy Rail,2022-04-01,All,ALL,ALL,143797,Revenue
Philadelphia,Regional Rail,2022-04-01,All,ALL,ALL,54044,Revenue
Philadelphia,Trackless Trolley,2022-04-01,All,ALL,ALL,10035,Revenue_Estimate
Philadelphia,Trolley,2022-04-01,All,ALL,ALL,35922,Revenue_Estimate
Philadelphia,Bus,2022-05-01,All,ALL,ALL,313650,APC
Philadelphia,CCT,2022-05-01,All,ALL,ALL,2714,Revenue
Philadelphia,Heavy Rail,2022-05-01,All,ALL,ALL,140826,Revenue
